order_id,order_datetime,from_where,to_where,order_category,order_emergency,order_timestamp,order_value,order_status
711980f8-3782-4744-bdcb-68b7d5bb492f,2025-08-17 22:25:03.110385,Residence_20,Residence_19,Transport,low,2025-08-17 22:25:03.110385,3659.39,in_progress
21e9d6f2-93b9-4d1e-99c4-616eca5c99c9,2025-08-18 02:09:12.589396,Hospital_3,Residence_33,Delivery,high,2025-08-18 02:09:12.589396,826.34,in_progress
1416150d-a066-44fe-a36a-30a74fb7cd0d,2025-08-18 17:59:38.848382,Residence_17,Hospital_4,Transport,medium,2025-08-18 17:59:38.848382,1877.06,completed
9ea9edc1-d11c-4433-83bb-52648091fb90,2025-08-18 15:11:18.040216,Residence_48,Hospital_5,Transport,low,2025-08-18 15:11:18.040216,3184.34,cancelled
a0b00a74-9c57-40f8-a257-8b011d0b2fd5,2025-08-17 22:09:46.884087,Supermarket_4,Residence_41,Pickup,low,2025-08-17 22:09:46.884087,3572.22,in_progress
8af5a8ca-0e66-441f-b69f-865234882646,2025-08-17 18:45:04.428827,Residence_43,Residence_45,Transport,low,2025-08-17 18:45:04.428827,4802.88,cancelled
0e1f2d5c-8fd3-42ce-9602-651e77fecea7,2025-08-18 15:34:17.266078,Residence_46,Residence_4,Transport,low,2025-08-18 15:34:17.266078,1290.16,pending
ef365c72-c494-4cd6-807e-9438676f8bc6,2025-08-18 11:07:08.435009,Hospital_3,Residence_15,Delivery,high,2025-08-18 11:07:08.435009,1435.3,pending
7ad0eb1e-9640-4b3a-ac58-48cfcf98d7c8,2025-08-17 23:50:57.753839,Hospital_3,Residence_10,Delivery,high,2025-08-17 23:50:57.753839,3767.51,cancelled
c3f903b5-669b-43d2-ad22-39cead3827f5,2025-08-17 20:51:42.233193,Residence_16,Supermarket_2,Transport,high,2025-08-17 20:51:42.233193,1211.98,cancelled
a6e7dd87-30eb-4560-99fa-37d3fec12399,2025-08-18 17:05:08.194980,Residence_21,Residence_8,Transport,medium,2025-08-18 17:05:08.194980,2041.93,completed
ab4c0bc5-a72e-4839-994c-507309ca7c62,2025-08-18 15:14:42.225070,Hospital_3,Hospital_1,Delivery,medium,2025-08-18 15:14:42.225070,2389.2,in_progress
8e9b1177-2925-4c5f-bbff-ba8095be0f95,2025-08-18 15:38:19.508529,Residence_1,Residence_4,Transport,high,2025-08-18 15:38:19.508529,2266.38,pending
08b8778b-15af-4cc1-a29f-773051925810,2025-08-18 12:46:39.357688,Residence_27,Residence_3,Transport,low,2025-08-18 12:46:39.357688,3828.15,pending
eaa92765-aad4-446c-8325-cf207b664114,2025-08-18 04:49:48.877775,Residence_29,Residence_16,Transport,high,2025-08-18 04:49:48.877775,4748.86,completed
493c8fb3-f9fe-41d8-bad1-4e4f314d5fc4,2025-08-18 10:14:41.008656,Residence_28,Supermarket_1,Transport,low,2025-08-18 10:14:41.008656,3785.92,in_progress
cf01c47c-1805-480a-9653-7b80a3ab66bd,2025-08-18 01:27:03.536487,Residence_42,Residence_11,Transport,high,2025-08-18 01:27:03.536487,516.29,in_progress
65128dfd-ff03-46f0-a20b-8a6cc25d03eb,2025-08-18 05:00:02.820435,Residence_29,Residence_35,Transport,low,2025-08-18 05:00:02.820435,1945.68,in_progress
ad3a664d-997e-4d99-b479-a9b6e3935ccb,2025-08-17 20:48:59.813662,Residence_29,Residence_39,Transport,low,2025-08-17 20:48:59.813662,3358.37,completed
f7e4e9f9-41ef-4b34-8754-9727fc11d4c6,2025-08-18 11:15:50.568084,Residence_36,Residence_28,Transport,low,2025-08-18 11:15:50.568084,1475.35,pending
a447de7e-826f-4ad2-99db-d3958d330f20,2025-08-17 23:07:23.940061,Residence_9,Hospital_5,Transport,low,2025-08-17 23:07:23.940061,2145.06,in_progress
098a500b-9f25-4cc3-9c53-c2b144b7bb81,2025-08-18 09:21:39.368556,Residence_3,Residence_26,Transport,low,2025-08-18 09:21:39.368556,2537.11,in_progress
8e39953a-78a1-48c4-9236-a49fe7e51eaf,2025-08-18 07:27:18.872517,Residence_20,Residence_18,Transport,high,2025-08-18 07:27:18.872517,3795.39,cancelled
332f473b-78a7-40d8-abbb-4693dfe8c97b,2025-08-18 10:22:36.420585,Residence_23,Residence_44,Transport,low,2025-08-18 10:22:36.420585,2557.27,cancelled
eb2c9cb0-8681-4222-840e-f3cf949e8cdc,2025-08-18 00:40:44.645520,Residence_14,Residence_21,Transport,high,2025-08-18 00:40:44.645520,536.89,cancelled
